Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size (Bytes)
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,7114
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.3,224.0.0.251,UDP,5353,5353,125
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
